roaster_slug,roaster,country,website,description,style
the_barn,The Barn,Germany,https://thebarn.de,Berlin specialty coffee pioneer focusing on transparent sourcing and light roasts,Clean and high clarity
coffee_circle,Coffee Circle,Germany,https://www.coffeecircle.com,Popular German specialty roaster with strong focus on sustainability,Balanced and approachable
bonanza_coffee,Bonanza Coffee,Germany,https://bonanzacoffee.de,Berlin-based specialty roaster known for delicate single origins,Floral and elegant
five_elephant,Five Elephant,Germany,https://www.fiveelephant.com,Known for high quality sourcing and Nordic-style roasting,Sweet and clean
19grams,19grams,Germany,https://19grams.coffee,Well-known Berlin roaster with both espresso and filter offerings,Balanced and versatile
public_coffee_roasters,Public Coffee Roasters,Germany,https://publiccoffeeroasters.de,Hamburg-based specialty roaster with strong focus on traceability,Clean and fruity
leuchtfeuer_coffee,Leuchtfeuer Coffee,Germany,https://www.leuchtfeuer.coffee,Specialty roaster emphasizing transparency and education,Bright and complex
roeststaette_berlin,Röststätte Berlin,Germany,https://www.roeststaette.com,Berlin roaster focused on carefully developed roast profiles,Structured and sweet
machhoerndl,Machhörndl,Germany,https://www.machhoerndl-kaffee.de,Nuremberg specialty roaster with Nordic influence,Clean and fruity
wildkaffee,Wildkaffee,Germany,https://wild-kaffee.com,Garmisch-Partenkirchen specialty roaster focused on direct trade and transparency,Clean and origin-focused
man_versus_machine,Man versus Machine,Germany,https://mvsm.coffee,Munich specialty roaster known for modern light roasting,Floral and bright
jb_kaffee,JB Kaffee,Germany,https://jbkaffee.de,Specialty roaster with strong focus on high-scoring single origins,Complex and fruit-forward
hoppenworth_ploch,Hoppenworth & Ploch,Germany,https://hoppenworth-ploch.de,Frankfurt specialty coffee roaster and café operator,Clean and modern
nord_coast_coffee_roastery,Nord Coast Coffee Roastery,Germany,https://nordcoast-coffee.de,Specialty roaster from Kiel focusing on sustainable sourcing,Balanced and sweet
supremo_coffee,Supremo Coffee,Germany,https://supremo-kaffee.de,Green coffee importer and specialty roaster,Origin-focused
dinzler,Dinzler,Germany,https://www.dinzler.de,Bavarian roaster with strong espresso portfolio,Chocolate and nutty
murnauer_kaffeeroesterei,Murnauer Kaffeerösterei,Germany,https://www.murnauer-kaffeeroesterei.de,Regional Bavarian specialty roaster,Balanced and smooth
dallmayr,Dallmayr,Germany,https://www.dallmayr.com,One of Germany's most established premium coffee brands,Classic and balanced
tchibo,Tchibo,Germany,https://www.tchibo.de,Large German coffee company with broad product range,Familiar and approachable
minges,Minges,Germany,https://www.minges-kaffee.de,Traditional German coffee roaster,Chocolate and mild
vee_kaffee,Vee Kaffee,Germany,https://www.roastmarket.de/marke/vee-s.html,Classically roasted coffees with focused aroma,Classic and balanced
mainzer_kaffeemanufaktur,Mainzer Kaffeemanufaktur,Germany,https://www.roastmarket.de/marken,Traditional German coffee roaster,Balanced and approachable
roesttrommel_kaffeeroesterei,Rösttrommel Kaffeerösterei,Germany,https://www.roastmarket.de/marke/roesttrommel-kaffeeroesterei.html,Artisan coffee roaster with a broad specialty coffee portfolio,Clean and balanced
hermetic_coffee_roasters,Hermetic Coffee Roasters,Germany,https://www.roastmarket.de/marke/hermetic-coffee-roasters.html,Modern specialty coffee roaster,Fruity and experimental
la_cabra,La Cabra,Denmark,https://www.lacabra.dk,Highly regarded Scandinavian specialty roaster,Floral and tea-like
tim_wendelboe,Tim Wendelboe,Norway,https://timwendelboe.no,World-renowned Norwegian specialty roaster,Very clean and terroir-focused
drop_coffee,Drop Coffee,Sweden,https://www.dropcoffee.com,Scandinavian roaster known for elegant light roasts,Delicate and sweet
square_mile,Square Mile,United Kingdom,https://shop.squaremilecoffee.com,Influential UK specialty roaster,Balanced and modern
blue_bottle,Blue Bottle,United States,https://bluebottlecoffee.com,Specializes in single-origin coffee with precise brewing guidance,Smooth and bright
stumptown_coffee_roasters,Stumptown Coffee Roasters,United States,https://www.stumptowncoffee.com,Known for direct-trade sourcing and bold roast profiles,Rich and fruity
intelligentsia_coffee,Intelligentsia Coffee,United States,https://www.intelligentsiacoffee.com,Pioneer of direct trade with a focus on traceable coffee,Sweet and complex
counter_culture_coffee,Counter Culture Coffee,United States,https://counterculturecoffee.com,Focuses on sustainability and education,Clean and balanced
la_colombe,La Colombe,United States,https://www.lacolombe.com,Popular for ready-to-drink cold brews and smooth blends,Smooth and creamy
verve_coffee_roasters,Verve Coffee Roasters,United States,https://www.vervecoffee.com,California-based roaster with a strong seasonal single-origin program,Fruity and floral
lavazza,Lavazza,Italy,https://www.lavazza.com,Large Italian coffee company famous for espresso blends,Chocolate and espresso-focused
illy,illy,Italy,https://www.illy.com,Premium Italian espresso brand,Smooth and balanced
hausbrandt,Hausbrandt,Italy,https://www.hausbrandt.it,Traditional Italian espresso roaster,Dark chocolate and spice
caffe_vergnano,Caffè Vergnano,Italy,https://www.caffevergnano.com,One of Italy's oldest coffee companies,Classic and robust
mokaflor,Mokaflor,Italy,https://www.mokaflor.it,Italian roaster known for espresso and moka blends,Rich and intense
segafredo_zanetti,Segafredo Zanetti,Italy,https://www.segafredo.it,Global Italian coffee brand with a wide range of products,Versatile and accessible
